index,customerID,tenure,MonthlyCharges,TotalCharges,ChurnID,gender,SeniorCitizen,Partner,Dependents,Contract,PaperlessBilling,PaymentMethod,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
0,0002-ORFBO,9,65.6,593.3,1,Female,0,Yes,Yes,One year,Yes,Mailed check,Yes,No,DSL,No,Yes,No,Yes,Yes,No
1,0003-MKNFE,9,59.9,542.4,1,Male,0,No,No,Month-to-month,No,Mailed check,Yes,Yes,DSL,No,No,No,No,No,Yes
2,0004-TLHLJ,4,73.9,280.85,2,Male,0,No,No,Month-to-month,Yes,Electronic check,Yes,No,Fiber optic,No,No,Yes,No,No,No
3,0011-IGKFF,13,98,1237.85,2,Male,1,Yes,No,Month-to-month,Yes,Electronic check,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
4,0013-EXCHZ,3,83.9,267.4,2,Female,1,Yes,No,Month-to-month,Yes,Mailed check,Yes,No,Fiber optic,No,No,No,Yes,Yes,No
5,0013-MHZWF,9,69.4,571.45,1,Female,0,No,Yes,Month-to-month,Yes,Credit card (automatic),Yes,No,DSL,No,No,No,Yes,Yes,Yes
6,0013-SMEOE,71,109.7,7904.25,1,Female,1,Yes,No,Two year,Yes,Bank transfer (automatic),Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
7,0014-BMAQU,63,84.65,5377.8,1,Male,0,Yes,No,Two year,Yes,Credit card (automatic),Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No
8,0015-UOCOJ,7,48.2,340.35,1,Female,1,No,No,Month-to-month,Yes,Electronic check,Yes,No,DSL,Yes,No,No,No,No,No
9,0016-QLJIS,65,90.45,5957.9,1,Female,0,Yes,Yes,Two year,Yes,Mailed check,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
10,0017-DINOC,54,45.2,2460.55,1,Male,0,No,No,Two year,No,Credit card (automatic),No,No phone service,DSL,Yes,No,No,Yes,Yes,No
11,0017-IUDMW,72,116.8,8456.75,1,Female,0,Yes,Yes,Two year,Yes,Credit card (automatic),Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
12,0018-NYROU,5,68.95,351.5,1,Female,0,Yes,No,Month-to-month,Yes,Electronic check,Yes,No,Fiber optic,No,No,No,No,No,No
13,0019-EFAEP,72,101.3,7261.25,1,Female,0,No,No,Two year,Yes,Bank transfer (automatic),Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No
14,0019-GFNTW,56,45.05,2560.1,1,Female,0,No,No,Two year,No,Bank transfer (automatic),No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No
15,0020-INWCK,71,95.75,6849.4,1,Female,0,Yes,Yes,Two year,Yes,Credit card (automatic),Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes
16,0020-JDNXP,34,61.25,1993.2,1,Female,0,Yes,Yes,One year,No,Mailed check,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes
17,0021-IKXGC,1,72.1,72.1,1,Female,1,No,No,Month-to-month,Yes,Electronic check,Yes,Yes,Fiber optic,No,No,No,No,No,No
18,0022-TCJCI,45,62.7,2791.5,2,Male,1,No,No,One year,No,Credit card (automatic),Yes,No,DSL,Yes,No,Yes,No,No,Yes
19,0023-HGHWL,1,25.1,25.1,2,Male,1,No,No,Month-to-month,Yes,Electronic check,No,No phone service,DSL,No,No,No,No,No,No
20,0023-UYUPN,50,25.2,1306.3,1,Female,1,Yes,No,One year,No,Electronic check,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
21,0023-XUOPT,13,94.1,1215.6,2,Female,0,Yes,No,Month-to-month,No,Electronic check,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No
22,0027-KWYKW,23,83.75,1849.95,1,Female,0,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
23,0030-FNXPP,3,19.85,57.2,1,Female,0,No,No,Month-to-month,No,Mailed check,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
24,0031-PVLZI,4,20.35,76.35,2,Female,0,Yes,Yes,Month-to-month,No,Mailed check,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
25,0032-PGELS,1,30.5,30.5,2,Female,0,Yes,Yes,Month-to-month,No,Bank transfer (automatic),No,No phone service,DSL,Yes,No,No,No,No,No
26,0036-IHMOT,55,103.7,5656.75,1,Female,0,Yes,Yes,One year,Yes,Bank transfer (automatic),Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
27,0040-HALCW,54,20.4,1090.6,1,Male,0,Yes,Yes,Two year,No,Credit card (automatic),Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
28,0042-JVWOJ,26,19.6,471.85,1,Male,0,No,No,One year,Yes,Bank transfer (automatic),Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
29,0042-RLHYP,69,19.7,1396.9,1,Female,0,Yes,Yes,Two year,No,Bank transfer (automatic),Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
30,0048-LUMLS,37,91.2,3247.55,1,Male,0,Yes,Yes,One year,No,Credit card (automatic),Yes,No,Fiber optic,No,No,No,No,Yes,Yes
31,0048-PIHNL,49,20.45,900.9,1,Female,0,Yes,No,One year,No,Bank transfer (automatic),Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
32,0052-DCKON,66,115.8,7942.15,1,Male,0,Yes,No,One year,No,Bank transfer (automatic),Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
33,0052-YNYOT,67,20.55,1343.4,1,Female,0,No,No,One year,No,Electronic check,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
34,0056-EPFBG,20,39.4,825.4,1,Male,0,Yes,Yes,Two year,Yes,Credit card (automatic),No,No phone service,DSL,Yes,No,Yes,Yes,No,No
35,0057-QBUQH,43,25.1,1070.15,1,Female,0,No,Yes,Two year,Yes,Electronic check,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
36,0058-EVZWM,55,89.8,4959.6,1,Female,0,Yes,No,Month-to-month,Yes,Bank transfer (automatic),Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No
